,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
24,25706.90252350076,26793.752364704043,26353.435273541338,26585.505837635053,24917.88661923243,20142.622318125406,20283.204594056555,18911.023537032008,17090.256325796723,17828.134796019283,19444.68911942655,20453.954677192207,21975.100984503413,22695.18138626161,25583.256670465387,26060.152468858847,25774.5383272274,24605.962183396405,24325.17042320641,23285.863937130795,24439.91398523976,24176.057806880806,23539.83348536897,22426.408208227003,21551.26170776216
25,6000.755347144712,6567.467800924676,7001.813641603922,7268.120411271932,7451.056937785223,7502.058001826609,7554.7262845615505,7590.1775010896745,7572.431249522157,7830.740735048666,7877.417306342573,8307.374383862707,8062.449426244264,8679.078842000132,8536.498835821561,8997.493281212697,9272.049506040476,9530.48377055965,9546.838795237982,9221.884549343038,9296.417118786872,9635.118276785612,9973.491048127393,8861.874957120841,8947.934362726626
26,665214.8276846753,688690.2135816098,690822.4454209234,694563.6806047456,705601.664655313,695602.3696022604,728281.017647405,705878.0070203856,706162.5215142799,666065.0907147968,660081.3630052399,659777.5682110835,653868.1442062297,654033.5495076814,657458.5490434188,642829.9482255393,627690.2067427472,624501.3446316043,622522.0316851602,605280.0337766646,640806.5526576893,599635.1288813938,585433.31323551,584689.7072050597,560747.74257911
27,197485.1414399313,200467.8531660929,203998.49999874493,202895.19750436847,206449.7498637327,208924.27380639905,215503.38359156935,223913.96853785336,216615.43468061762,222793.00821829613,229154.0608380303,237175.87070672025,238850.99431674692,246064.7635432423,244946.4818313265,250998.86378577875,251090.24832086766,243473.63829440574,243061.93844882105,235874.1008632518,236826.8726940461,236824.56268925878,242671.0917762883,240894.9754409553,243313.28723977235
28,155765.31421538076,148760.66743195234,143335.8814714233,149408.35336731724,155113.25406041046,154233.44776922517,163233.28576831895,163001.8390810749,163497.04988385213,166429.30865507547,164650.1250329325,168435.0082749048,165181.51111527687,166997.67568838905,168642.02543274066,165874.85046125154,165215.05818562204,170899.0368561183,166322.9304601368,158099.5587875445,165897.29089295724,162925.9315387254,161616.9255886842,160756.89717272314,159571.82155303835
29,1418987.921685539,1387298.3632192085,1343140.5118697516,1345052.7364031845,1329655.6811377269,1335818.2621350395,1375441.3189302657,1346566.4344649613,1246863.965892818,1212093.5696904538,1176827.272232046,1169794.0319853213,1138937.7424778906,1179196.7221134098,1192808.31161493,1192241.7984585962,1234606.6305531722,1233721.016372655,1209439.5186381384,1154838.9863582607,1210796.7927146005,1209814.0788833434,1190950.6480999915,1179275.6165901541,1140112.6976135978
30,181348.41391818106,186762.84169318216,200613.13307838398,196552.32928844696,200461.2028547505,213772.6405482212,206176.94230305977,216247.88193872172,231244.2618201659,255239.52448032075,251449.3634448503,251252.57772367212,264211.3332037782,248528.2069254616,257710.9961475825,265484.53129223577,250400.7147311165,243026.32548176864,235931.92236464913,227557.3389420441,213737.63338164907,209081.86359882468,202798.5949079048,197388.98270524087,196987.846779702
31,764997.3688132437,625432.2460951643,572804.465823789,546033.2206691764,534323.7133826995,555031.5328655813,562427.1575430179,526476.98035875,465849.37730531115,410303.1835680722,427214.0020938837,447773.7871797697,444068.66751621617,459814.189424616,455631.0748380123,447987.6836633546,454294.6659483485,446124.5413919789,430646.60686011607,376584.16680983116,357374.9432497203,372793.85117322,368000.8629127797,335801.6875681498,334838.4318142235
32,11302665.132794036,10606800.074673774,9008306.40062886,8427883.574456166,7535071.854728937,7288297.331121154,7064301.78573609,6783550.399172102,6689023.9971813625,6784174.6187279625,6823493.8332891865,7002200.671448492,7027598.727376257,7266293.361593639,7413709.216480773,7504913.730217623,7723236.028953684,7752927.181339323,7849390.661704709,7445963.377415213,7807450.283770053,7995537.773038623,8102775.72012693,7929193.799523302,7946620.041596007
33,222814.5320533569,193933.59971244988,177612.839450259,167067.8487302013,159159.89713314606,163216.7313990318,164118.19755120628,163190.81407932244,158981.52905538608,155101.27676860528,149137.4329697481,156382.99680919744,150434.27606257267,151759.72804820375,153945.487585833,153862.1249354323,153620.74496590163,148215.21924438392,150266.2095540192,136672.88706148925,139448.62126622218,136812.05528097926,129526.76540051069,128377.4366988996,121972.80510093961
34,55849.3472893389,51934.587400906814,52230.20439192688,52816.6146229238,54013.33617846276,56283.05411330996,58320.73342004945,59383.400220141,58561.15977039327,56678.396916490216,57378.6874983075,60032.15934698965,60479.687240016,59634.741471529815,60595.33702091336,61568.215204513835,62084.917420806894,62495.50966321617,64570.64525383448,58786.10173924537,58856.29478842178,58879.391966223324,57106.262637810585,54941.344601171084,49746.93568878207
35,561201.7507685283,578953.2898463326,597319.1991336581,577041.013230366,609688.8364533621,640363.1170398259,623873.2667441582,652524.399789818,671928.3616411504,725181.9737575095,757292.6355307944,751579.3882053582,787652.1570867264,802538.7189726363,833837.7733885803,863257.7319618581,849129.4555827809,866801.1227987403,804633.4997000122,731060.565140542,707449.378149384,707744.4771905574,697112.8686350103,640244.0786029943,643488.1339042364
36,215751.77877506352,216123.76455896345,214581.15108490342,215421.5721998988,222694.4667365847,222088.0809651954,232722.30061464146,218316.8961641109,219257.592578124,210545.10917056675,206606.3065428168,207576.347430066,210482.3451042323,211804.08128523204,208747.32540267773,200904.9081150833,200770.27357850727,196117.96071411774,189363.36746703327,177158.29143166833,194991.26212456703,182961.44312602442,172735.07727630818,167818.56986979785,163148.21185686064
37,160335.4983242508,166146.87363728508,165269.12699399947,157308.73645158517,154270.47270329058,156888.25055068222,159052.40079625006,155267.14066478552,160051.62233497613,159311.4676357453,157134.91166970565,161893.68906522953,157117.33236867358,160762.35414200794,162656.0786757443,164703.67721363262,163572.86651897008,157790.63759522227,162378.94149906814,158453.3918356291,163244.25026089762,151013.06800379197,155034.7153217225,157681.18906732238,145972.02814142115
38,623319.9634286013,642384.9664930318,662391.4329469593,691886.9976402749,674157.7057131635,717119.3753926442,769971.2412490235,809827.5088763825,815267.7975953695,814073.8653010204,890432.5050527737,836354.8368152034,861283.7037627087,911083.2747709013,950681.115666648,1035695.38464222,1113961.6594934543,1210177.4580713406,1179302.7230573543,1147540.2567459363,1185847.5305843998,1247606.4424982762,1342356.9939686279,1316458.751994261,1402651.130815669
39,2813862.6113043814,2559623.2568277786,2386340.8818428083,2116129.727864996,1801019.9316828637,1671143.8089527881,1535059.887973394,1488659.9353103791,1393200.0924869946,1311112.661602425,1241770.3264774838,1301497.6378799635,1252508.0595450508,1252668.3256372744,1283737.2708230878,1306981.9851002642,1356269.288275023,1365802.3337250808,1326517.125460533,1153955.3635471435,1205787.2800353174,1264907.9786238354,1228594.0580433721,1203200.8966495441,1063042.610073537
40,1600214.977112239,1619013.58149484,1578210.5189442157,1538513.5608160803,1516636.9419693085,1504927.836457002,1548451.568638627,1499037.5937609302,1493924.044238142,1432598.8205380256,1435157.5858701894,1442052.7452637341,1402009.3807939796,1416170.0604577658,1408180.2034223475,1392083.278710375,1380641.9866265757,1356023.2462998584,1315961.7360043118,1199113.5319385135,1228333.4811395782,1131978.0308587856,1165893.1853208626,1140157.0666131282,1055001.5025740105
41,19191433.469006743,18992813.656517707,19346031.462076616,19699247.569173124,19950889.78531222,20245586.776678447,20849514.012460407,20999997.301258054,21200364.488428373,21271327.834450766,21776919.35101662,21422697.424025908,21555984.41459052,21674922.09780381,22109910.10370956,22136326.49261187,21948433.36778289,22266623.88885417,21649245.212707434,20328689.32163117,20956371.160281774,20596193.708998445,19929031.733619567,20399937.90840408,20611338.27461358
