,loss,mae,mse,val_loss,val_mae,val_mse,epoch
117,2882287616.0,30807.939453125,2882287616.0,93452107776.0,173128.71875,93452107776.0,117
118,2846078720.0,30595.796875,2846078720.0,91760386048.0,171132.90625,91760386048.0,118
119,2817964288.0,30452.654296875,2817964288.0,89316048896.0,168559.40625,89316048896.0,119
120,2783914752.0,30291.013671875,2783914752.0,86942932992.0,166467.140625,86942932992.0,120
121,2744241920.0,30096.318359375,2744241920.0,85994618880.0,165913.796875,85994618880.0,121
122,2712702208.0,29899.599609375,2712702208.0,85333975040.0,165438.890625,85333975040.0,122
123,2680574720.0,29696.21875,2680574720.0,82875670528.0,162836.15625,82875670528.0,123
124,2646247680.0,29527.443359375,2646247680.0,80820158464.0,160487.859375,80820158464.0,124
125,2611483904.0,29349.982421875,2611483904.0,79995469824.0,159531.828125,79995469824.0,125
126,2579360256.0,29150.474609375,2579360256.0,78774771712.0,158424.53125,78774771712.0,126
127,2544042752.0,28943.072265625,2544042752.0,77237772288.0,156933.890625,77237772288.0,127
128,2512589056.0,28744.015625,2512589056.0,75773714432.0,155566.90625,75773714432.0,128
129,2482062080.0,28571.25,2482062080.0,73277693952.0,152903.640625,73277693952.0,129
130,2451358464.0,28414.755859375,2451358464.0,71498555392.0,150931.734375,71498555392.0,130
131,2419670016.0,28238.681640625,2419670016.0,70683983872.0,150027.671875,70683983872.0,131
132,2387189504.0,28035.3046875,2387189504.0,69456486400.0,148629.359375,69456486400.0,132
133,2353037568.0,27816.615234375,2353037568.0,67970195456.0,146925.578125,67970195456.0,133
134,2328673536.0,27641.921875,2328673536.0,67290214400.0,146308.203125,67290214400.0,134
135,2295606528.0,27419.947265625,2295606528.0,66487177216.0,145516.65625,66487177216.0,135
136,2262481152.0,27222.341796875,2262481152.0,63874093056.0,142475.078125,63874093056.0,136
137,2233300992.0,27095.134765625,2233300992.0,60877824000.0,138794.453125,60877824000.0,137
138,2204445184.0,26960.6171875,2204445184.0,60016529408.0,137831.796875,60016529408.0,138
139,2173314304.0,26754.443359375,2173314304.0,60775141376.0,138842.1875,60775141376.0,139
140,2141325952.0,26494.806640625,2141325952.0,60211388416.0,138115.15625,60211388416.0,140
141,2108940288.0,26259.0,2108940288.0,59009904640.0,136502.859375,59009904640.0,141
142,2088286080.0,26123.177734375,2088286080.0,58004729856.0,135170.234375,58004729856.0,142
143,2059532288.0,25959.833984375,2059532288.0,56456044544.0,133286.28125,56456044544.0,143
144,2022811008.0,25766.634765625,2022811008.0,54663581696.0,131068.5078125,54663581696.0,144
145,1995423616.0,25611.662109375,1995423616.0,53085405184.0,129127.0,53085405184.0,145
146,1965931904.0,25417.25,1965931904.0,51843657728.0,127629.3203125,51843657728.0,146
147,1937160576.0,25204.677734375,1937160576.0,51503599616.0,127194.8046875,51503599616.0,147
148,1911351296.0,24987.494140625,1911351296.0,50690269184.0,126330.2421875,50690269184.0,148
149,1882093184.0,24789.3046875,1882093184.0,49175191552.0,124426.859375,49175191552.0,149
150,1853939712.0,24632.224609375,1853939712.0,47873253376.0,122686.1328125,47873253376.0,150
151,1825435008.0,24467.234375,1825435008.0,47695159296.0,122653.4296875,47695159296.0,151
152,1800391296.0,24285.802734375,1800391296.0,47262658560.0,122443.3046875,47262658560.0,152
153,1772102528.0,24096.974609375,1772102528.0,46169186304.0,121184.265625,46169186304.0,153
154,1745553536.0,23917.263671875,1745553536.0,44565331968.0,119098.1953125,44565331968.0,154
155,1717617152.0,23725.8125,1717617152.0,43611234304.0,118120.953125,43611234304.0,155
156,1693417600.0,23561.455078125,1693417600.0,43173097472.0,117843.6484375,43173097472.0,156
157,1668891008.0,23377.751953125,1668891008.0,41595437056.0,115741.3984375,41595437056.0,157
158,1643321728.0,23212.2109375,1643321728.0,40480018432.0,114274.4921875,40480018432.0,158
159,1617560960.0,23031.025390625,1617560960.0,40161402880.0,114042.3671875,40161402880.0,159
160,1591102592.0,22817.048828125,1591102592.0,40155521024.0,114249.9453125,40155521024.0,160
161,1568005632.0,22612.462890625,1568005632.0,39642714112.0,113710.640625,39642714112.0,161
162,1541934080.0,22427.916015625,1541934080.0,37590233088.0,110783.3359375,37590233088.0,162
163,1519910528.0,22326.28125,1519910528.0,35782258688.0,108158.9921875,35782258688.0,163
164,1497393536.0,22186.306640625,1497393536.0,35018924032.0,107324.0234375,35018924032.0,164
165,1473717376.0,21990.677734375,1473717376.0,35158421504.0,107844.7734375,35158421504.0,165
166,1450835584.0,21765.662109375,1450835584.0,34276358144.0,106631.9453125,34276358144.0,166
167,1427227648.0,21577.134765625,1427227648.0,32496234496.0,103886.1953125,32496234496.0,167
168,1403037568.0,21420.830078125,1403037568.0,31593064448.0,102516.8515625,31593064448.0,168
169,1379215872.0,21229.041015625,1379215872.0,32021125120.0,103424.953125,32021125120.0,169
