country_or_area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Japan,3812228.8444915786,3842813.097334919,3883213.807959235,3857629.965458332,4074803.0339655634,4139773.6326756678,4179328.3145119837,4169720.981221855,4037520.715192042,4103658.267707698,4160141.530502247,4076146.5238565397,4170993.423377372,4178106.437368891,4168779.563357818,4191305.4568403657,4133585.8166190838,4238385.222715473,3981505.585669255,3753010.7506470615,3914707.926213837,4063848.021633872,4171019.917781277,4223649.676605112,4091586.915375326
Latvia,79105.34816950295,73160.41150856589,58788.78556232637,48485.749967790594,42768.21139609688,38509.129292627666,38660.49174637234,36968.610277595704,35435.350448478384,33056.95909413589,31329.263190484315,33128.37765615362,33043.323289754146,33514.85225950612,33486.16366123813,34144.52472669042,35701.20217544787,37095.05776326004,35827.52099089434,33668.73988303525,37088.057018949024,34882.86348975046,34554.00937234259,34322.47356248334,34139.47488519888
Liechtenstein,458.3545013554732,473.2988615535462,473.76571182501146,488.0197863387961,461.1586760257204,468.6437463297283,473.6581590541959,498.6839463218052,520.6762624898381,514.8007365718805,496.34909337256994,495.3100119215223,508.1687662161666,528.558322893788,529.8140743772119,531.6570215955973,538.4719185509305,480.3585870392379,520.6933935970277,491.51799697371155,462.46495990040654,437.2103891773157,456.3863519292919,469.81386049199034,408.83249833639275
Lithuania,144570.84606328228,150701.31169828257,91340.47067472867,73644.9131546355,69703.73973829261,67201.5259190022,70404.71282330275,68913.32058674315,71704.13965479717,63699.21953613658,58815.85297446575,61696.19573155227,62957.85029233836,63609.04172057048,65953.23363665766,69108.41487564606,70135.34654915365,76057.05315849146,73183.59201856347,59807.75722763189,62265.40415953645,63763.372537198775,63338.02914022767,59552.48686396711,59333.24941845477
Luxembourg,25706.90252350077,26793.752364704036,26353.435273541338,26585.505837635053,24917.88661923243,20142.622318125406,20283.204594056555,18911.023537032008,17090.256325796723,17828.134796019283,19444.68911942655,20453.954677192207,21975.100984503413,22695.181386261615,25583.256670465387,26060.152468858847,25774.5383272274,24605.96218339641,24325.170423206415,23285.863937130795,24439.91398523976,24176.057806880806,23539.833485368967,22426.408208226996,21551.26170776216
Malta,6000.755347144712,6567.467800924677,7001.813641603922,7268.120411271932,7451.056937785223,7502.058001826609,7554.7262845615505,7590.177501089674,7572.4312495221575,7830.7407350486665,7877.417306342573,8307.374383862707,8062.449426244264,8679.078842000132,8536.498835821561,8997.493281212697,9272.049506040477,9530.483770559647,9546.838795237982,9221.884549343038,9296.417118786872,9635.118276785612,9973.49104812739,8861.87495712084,8947.934362726626
Monaco,298.2408177469974,301.10761216979375,317.8058791876952,315.1512087172442,318.2031979136159,311.2981493869317,324.61008102460494,320.15794730598896,319.4569903638482,325.5486995076454,329.077100132394,323.9173306023002,325.0532179959989,318.3790255015384,306.12821675666714,303.32787803331007,282.83578764886823,293.56517119867203,287.56720219635446,273.5376791079399,270.4383244930538,260.18488878528876,272.2495323909302,273.7684686123222,
Netherlands,665214.8276846753,688690.2135816098,690822.4454209234,694563.6806047456,705601.664655313,695602.3696022604,728281.017647405,705878.0070203856,706162.5215142798,666065.0907147968,660081.3630052399,659777.5682110835,653868.1442062298,654033.5495076814,657458.5490434188,642829.9482255393,627690.2067427472,624501.3446316043,622522.0316851602,605280.0337766646,640806.5526576893,599635.1288813938,585433.3132355101,584689.7072050597,560747.7425791099
New Zealand,197485.14143993132,200467.85316609291,203998.49999874493,202895.19750436855,206449.7498637327,208924.27380639905,215503.38359156938,223913.96853785336,216615.43468061756,222793.00821829616,229154.0608380303,237175.87070672022,238850.99431674686,246064.76354324227,244946.48183132647,250998.8637857787,251090.24832086757,243473.6382944058,243061.938448821,235874.1008632518,236826.87269404612,236824.5626892588,242671.0917762883,240894.97544095526,243313.28723977233
Norway,155765.31421538076,148760.66743195234,143335.8814714233,149408.35336731724,155113.25406041043,154233.44776922517,163233.28576831895,163001.83908107487,163497.04988385213,166429.30865507547,164650.1250329325,168435.0082749048,165181.51111527687,166997.67568838905,168642.02543274063,165874.85046125154,165215.05818562204,170899.0368561183,166322.9304601368,158099.5587875445,165897.29089295724,162925.9315387254,161616.92558868421,160756.89717272314,159571.82155303835
